Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,31.600000,32.500000,31.600000,32.150002,28.012907,54705
2015-06-02,32.150002,32.150002,30.750000,30.799999,26.836620,119029
2015-06-03,30.750000,31.500000,29.299999,30.750000,26.793062,144989
2015-06-04,29.650000,30.549999,29.400000,29.600000,25.791040,257929
2015-06-05,29.600000,29.799999,28.650000,28.850000,25.137552,160281
2015-06-08,28.850000,28.900000,27.100000,27.299999,23.787010,139381
2015-06-09,27.350000,28.450001,27.299999,28.150000,24.527628,139145
2015-06-10,28.450001,28.450001,27.100000,27.750000,24.179100,174346
2015-06-11,28.000000,28.250000,27.049999,27.200001,23.699875,113460
2015-06-12,27.000000,28.700001,26.600000,27.950001,24.353367,310500
2015-06-15,28.000000,29.000000,28.000000,28.799999,25.093987,134529
2015-06-16,28.850000,28.950001,27.850000,28.000000,24.396935,98246
2015-06-17,28.200001,28.400000,28.000000,28.150000,24.527628,54053
2015-06-18,28.500000,29.600000,28.250000,29.450001,25.660341,186378
2015-06-19,29.049999,30.000000,28.200001,28.400000,24.745459,121383
2015-06-22,28.600000,29.700001,28.400000,29.500000,25.703909,108394
2015-06-23,29.500000,29.700001,28.600000,28.799999,25.093987,61096
2015-06-24,28.850000,29.350000,28.299999,28.549999,24.876160,74194
2015-06-25,28.299999,28.400000,27.650000,27.850000,24.266233,83514
2015-06-26,27.750000,28.100000,27.600000,27.750000,24.179100,38787
2015-06-29,27.799999,28.049999,27.100000,27.850000,24.266233,39865
2015-06-30,28.000000,28.250000,27.700001,28.100000,24.484064,80691
2015-07-01,28.200001,28.400000,27.850000,28.150000,24.527628,115499
2015-07-02,28.100000,28.250000,27.650000,27.750000,24.179100,84957
2015-07-03,27.500000,28.250000,27.500000,27.950001,24.353367,71533
2015-07-06,27.250000,28.350000,27.250000,28.250000,24.614759,65580
2015-07-07,28.400000,29.000000,28.200001,28.350000,24.701893,77553
2015-07-08,28.000000,28.450001,27.799999,27.950001,24.353367,76006
2015-07-09,28.000000,28.299999,27.850000,27.900000,24.309799,49688
2015-07-10,27.900000,28.200001,27.450001,27.549999,24.004841,97083
2015-07-13,28.000000,28.150000,27.500000,28.049999,24.440498,97281
2015-07-14,28.799999,28.799999,27.549999,27.750000,24.179100,97201
2015-07-15,27.850000,30.049999,27.799999,28.950001,25.224684,455663
2015-07-16,28.500000,29.900000,28.100000,28.450001,24.789026,171370
2015-07-17,28.150000,29.150000,28.150000,28.350000,24.701893,152721
2015-07-20,28.200001,28.299999,27.850000,27.950001,24.353367,224129
2015-07-21,28.000000,28.150000,27.000000,27.200001,23.699875,115311
2015-07-22,27.000000,27.400000,26.799999,26.950001,23.482046,107508
2015-07-23,27.000000,27.700001,26.600000,26.950001,23.482046,301769
2015-07-24,27.000000,27.250000,26.750000,26.850000,23.394917,184513
2015-07-27,26.850000,26.850000,25.900000,26.049999,22.697861,69865
2015-07-28,25.100000,26.200001,24.549999,25.250000,22.000805,251050
2015-07-29,25.750000,27.100000,24.900000,26.900000,23.438478,1303724
