id,name,retailer,synonyms,status,Progress,date_created,date_updated,Matching Brand name,Confidence Score,Automated Status
4207957,KeyBak,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207958,Deporte,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207959,True Fit,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207960,51-106 MDBK,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207961,Murphy Robe,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207962,Rck Bella,walmart-us,,pending,,2018-08-29 18:21:28,,,,
4207953,KNR INC,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207954,Saxx Men's Underwear,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207955,Fashion Gloves,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207956,DC Collectibles,walmart-us,,pending,,2018-08-29 18:21:27,,,,
4207952,Sovereign Kids,walmart-us,,pending,,2018-08-29 18:21:26,,,,
4207950,INTIMO INC,walmart-us,,pending,,2018-08-29 18:21:22,,,,
4207951,Nike_Eye,walmart-us,,pending,,2018-08-29 18:21:22,,,,
4207949,Beba Bean,walmart-us,,pending,,2018-08-29 18:21:21,,,,
4207947,Baur Pacific Imports,walmart-us,,pending,,2018-08-29 18:21:20,,,,
4207948,American Diagnostic,walmart-us,,pending,,2018-08-29 18:21:20,,,,
4207946,Db Design,walmart-us,,pending,,2018-08-29 18:21:19,,,,
4207945,Deal Fashionista,walmart-us,,pending,,2018-08-29 18:21:18,,,,
4207943,TOPCHANCES,walmart-us,,pending,,2018-08-29 18:21:17,,,,
4207944,Fashion Craft,walmart-us,,pending,,2018-08-29 18:21:17,,,,
4207939,Everybright,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207940,Pro Pocket Headgear,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207941,1907 New Zealand,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207942,Club Fun™,walmart-us,,pending,,2018-08-29 18:21:15,,,,
4207936,NapTags,walmart-us,,pending,,2018-08-29 18:21:14,,,,
4207937,875-44-9,walmart-us,,pending,,2018-08-29 18:21:14,,,,
4207938,Good Works Jewelry,walmart-us,,pending,,2018-08-29 18:21:14,,,,
4207931,Night of the Living Dead,walmart-us,,pending,,2018-08-29 18:21:13,,,,
4207932,58-50 LGBKPK,walmart-us,,pending,,2018-08-29 18:21:13,,,,
4207933,HYFVE HYFVE HYFVE,walmart-us,,pending,,2018-08-29 18:21:13,,,,
4207934,Pecksniff's,walmart-us,,pending,,2018-08-29 18:21:13,,,,
4207935,Tag Furnishings,walmart-us,,pending,,2018-08-29 18:21:13,,,,
4207929,June & Daisy,walmart-us,,pending,,2018-08-29 18:21:12,,,,
4207930,GreenHealth,walmart-us,,pending,,2018-08-29 18:21:12,,,,
4207927,For G and PL,walmart-us,,pending,,2018-08-29 18:21:07,,,,
4207928,1285128,walmart-us,,pending,,2018-08-29 18:21:07,,,,
4207921,Golden Moon Inc,walmart-us,,pending,,2018-08-29 18:21:06,,,,
4207922,Viamor,walmart-us,,pending,,2018-08-29 18:21:06,,,,
4207923,McCalls Patterns,walmart-us,,pending,,2018-08-29 18:21:06,,,,
4207924,Everready First Aid,walmart-us,,pending,,2018-08-29 18:21:06,,,,
4207925,Incrediblegifts.com,walmart-us,,pending,,2018-08-29 18:21:06,,,,
4207926,Amop,walmart-us,,pending,,2018-08-29 18:21:06,,,,
4207919,Hoerev,walmart-us,,pending,,2018-08-29 18:21:05,,,,
4207920,TRUE Linkswear Golf,walmart-us,,pending,,2018-08-29 18:21:05,,,,
4207917,Easy2Pick,walmart-us,,pending,,2018-08-29 18:21:04,,,,
4207918,Washington Nationals,walmart-us,,pending,,2018-08-29 18:21:04,,,,
4207912,"A Crowded Coop, LLC",walmart-us,,pending,,2018-08-29 18:21:03,,,,
4207913,Dexter Toys,walmart-us,,pending,,2018-08-29 18:21:03,,,,
4207914,Just Ermo,walmart-us,,pending,,2018-08-29 18:21:03,,,,
4207915,Marquis Spas,walmart-us,,pending,,2018-08-29 18:21:03,,,,
4207916,Bioworld DC Comics,walmart-us,,pending,,2018-08-29 18:21:03,,,,
4207911,HARLEY DAVIDSONA® MERCHANDISE,walmart-us,,pending,,2018-08-29 18:21:02,,,,
4207910,MGT,walmart-us,,pending,,2018-08-29 18:21:01,,,,
4207907,Costume Jewelry,walmart-us,,pending,,2018-08-29 18:21:00,,,,
4207908,Masseys,walmart-us,,pending,,2018-08-29 18:21:00,,,,
4207909,Atlantic Coral Enterprises,walmart-us,,pending,,2018-08-29 18:21:00,,,,
4207902,Pika,walmart-us,,pending,,2018-08-29 18:20:59,,,,
4207903,Multi-Tech Systems,walmart-us,,pending,,2018-08-29 18:20:59,,,,
4207904,Ricky Flor Designs,walmart-us,,pending,,2018-08-29 18:20:59,,,,
4207905,College Kids,walmart-us,,pending,,2018-08-29 18:20:59,,,,
4207906,CMC Scottsdale,walmart-us,,pending,,2018-08-29 18:20:59,,,,
4207898,Ai,walmart-us,,pending,,2018-08-29 18:20:58,,,,
4207899,Kleinert's Waterproof Polyester Incontinence Pants,walmart-us,,pending,,2018-08-29 18:20:58,,,,
4207900,THRILL PERFORMANCE,walmart-us,,pending,,2018-08-29 18:20:58,,,,
4207901,National Cycle,walmart-us,,pending,,2018-08-29 18:20:58,,,,
